,judul,Penulis,Pembimbing 1,Pembimbing 2,Abstrak
103,EKSTRAKSI FITUR BERBASIS TWO DIMENSIONAL PRINCIPAL COMPONENT ANALYSIS (2DPCA) PADA SISTEM PENGENALAN WAJAH FEATURE EXTRACTION BASED ON TWO DIMENSIONAL PRINCIPAL COMPONENT ANALYSIS (2DPCA) FOR FACE RE,Penulis : Ach. Choirur Rosyid,"Dosen Pembimbing I : Dr. Arif Muntasa, S.Si., M.T.","Dosen Pembimbing II :Cucun Very Angkoso.S.T., M.T.","Pengenalan wajah merupakan salah satu teknologi biometric yang telah banyak dikembangkan oleh peneliti dibidang Computer Vision. Hasil penelitian dibidang ini juga sudah banyak digunakan dalam sistem keamanan seperti lingkungan intelijen dalam kepolisian serta dalam sistem keamanan ataupun verifikasi di berbagai perusahaan-perusahaan besar di Negara maju khususnya. Riset Tugas Akhir face recognition ini menggunakan citra ORL dan citra buatan. Dimana jumlah citra untuk ORL sebanyak 400 citra yang terdiri dari 40 kelas dan 10 pose, masing-masing citra mempunyai dimensi 112 x 92 piksel. Sedangkan, untuk citra buatan sebanyak 150 citra yang terdiri dari 15 kelas dan 10 pose, masing-masing citra mempunyai dimensi 180 x 150 piksel. Di skenario uji coba sistem ini terdapat 2 skenario pada masing-masing database uji coba, yaitu skenario 1 (7 pose citra training dan 3 pose citra testing) dan untuk skenario 2 (5 pose citra training dan 5 pose citra testing). Dalam proses uji coba, sistem ini membandingkan hasil akurasi antara penggunaan Histogram Equalization, Local Binary Pattern (LBP) dan tanpa proses Preprocessing, serta membandingkan hasil akurasi penggunaan jumlah fitur dalam proses klasifikasinya. Dalam proses klasifikasi menggunakan metode Canberra Distance dan Manhattan Distance dengan pendekatan penampilan (Appearance based). Hasil uji coba yang diperoleh membuktikan akurasi tertinggi terdapat pada citra ORL skenario 1 dengan histogram equalization yaitu 96,67%, sedangkan hasil terburuk pada citra ORL skenario 2 dengan LBP yaitu 33%."
104,Implementasi Game Edukasi untuk Media Pembelajaran Matematika Berbasis HTML5 pada Web Browser,Penulis : Mukhammad Bagus Muslim,"Dosen Pembimbing I : Arik Kurniawati, S.Kom M.T.","Dosen Pembimbing II :Yonathan Ferry H, S.T. M.IT.","Game adalah kata dari Bahasa Inggris yang berarti permainan atau pertandingan. Game bisa diartikan sebagai aktivitas terstruktur atau semi struktur, yang biasanya dilakukan untuk bersenang-senang dan kadang digunakan sebagai alat pembelajaran. Game sebenarnya penting untuk perkembangan otak, untuk meningkatkan konsentrasi dan melatih untuk memecahkan masalah dengan tepat dan cepat karena dalam game terdapat berbagai konflik atau masalah yang menuntut kita untuk menyelesaikannya dengan cepat dan tepat. Game sebagai media pembelajaran adalah suatu permainan yang dapat menghibur dan mengandung unsur-unsur pendidikan, yang bertujuan untuk bisa menjadi alat pembelajaran. Tugas Akhir ini bertujuan untuk mengimplementasikan HTML5 dalam pembuatan game edukasi pembelajaran matematika tentang operasi aritmatika yang diimplementasikan pada web browser. Penggunaan HTML5 diterapkan karena teknologi ini menunjang dalam pengembangan web game. Dalam pengimplementasian HTML5 penulis menggunakan game engine Construct 2. Hasil dari game engine Construct 2 adalah game dengan format html yang dapat dimainkan di browser sesuai tujuan tugas akhir ini. Sasaran pengguna game ini adalah anak-anak usia 7 sampai dengan 13 tahun. Dari uji coba aplikasi game ini, diperoleh hasil yang menunjukkan bahwa aplikasi tidak dapat berjalan pada semua web browser. Aplikasi ini hanya dapat berjalan pada browser yang mendukung HTML5. Mayoritas anak-anak menyukai metode pembelajaran dengan bermain game seperti ini, namun hal ini belum bisa membuat anak sepenuhnya suka akan pelajaran matematika."
105,SEGMENTASI DAN PENGENALAN OBYEK KARAKTER BERBASIS 2-D CORRELATION COEFFICIENT PADA PLAT NOMOR KENDARAAN,Penulis : Laurencius H Simanjuntak,"Dosen Pembimbing I : Dr. Arif Muntasa, S.Si., MT.","Dosen Pembimbing II :Dr. Indah Agustien S, S.Kom., M.Kom.","Sistem pengenalan karakter plat nomor kendaraan saat ini sudah banyak diciptakan dengan berbagai metode oleh peneliti-peneliti sebelumnya. Dalam penelitian ini dilakukan pengenalan obyek karakter plat nomor kendaraan dengan metode 2d-Correlation Coefficient. Metode ini membutuhkan data training terdiri dari citra angka 0-9 dan huruf a-z dengan ukuran dimensi 42x24. Ada empat tahap yang dilakukan, pertama pre-processing, yaitu menghilangkan noise dengan menggunakan metode Median Filter dan Adaptive Wiener Filter. Kedua, segmentasi karakter berdasarkan topologi citra. Ketiga, resizing supaya ukuran dimensi masing-masing citra karakter sama dengan ukuran citra karakter pada data training. Keempat, pengenalan karakter yaitu pengukuran similarity menggunakan metode 2-d Correlation Coefficient. Eksperimen dilakukan terhadap 50 citra plat nomor. Dari hasil eksperimen dengan filtering median filter diperoleh akurasi sebesar 82.00 %. Dan hasil eksperimen dengan filtering Adaptive Wiener Filter diperoleh akurasi sebesar 84.79 %."
106,PENGELOMPOKAN KECAMATAN BERDASARKAN INDIKATOR PEMERATAAN PENDIDIKAN MENGGUNAKAN PARTITION AROUND MEDOIDS (PAM),Penulis : Iswati,"Dosen Pembimbing I : Bain Khusnul K, ST, M.Kom","Dosen Pembimbing II :Budi Dwi Satoto, ST.,M.Kom","Pemerataan pendidikan di Indonesia telah menjadi perhatian pemerintah sejak lama. Namun hingga saat ini, pendidikan di Indonesia masih belum merata. Hal tersebut dapat dilihat dari rendahnya nilai APK dan APM di daerah-daerah tertentu serta belum meratanya sarana dan prasarana pendidikan di seluruh daerah. Pemerintah membutuhkan informasi mengenai kondisi pemerataan pendidikan untuk menghasilkan kebijakan yang tepat. Salah satu cara untuk memperoleh informasi tersebut adalah dengan cara mengelompokkan kecamatan berdasarakan indikator pemerataan pendidikan. Pengelompokan (clustering) adalah metode data mining yang membagi data kedalam kelompok-kelompok yang mempunyai objek yang karakteristiknya sama. Penelitian ini menggunakan metode clustering Partition Around Medoids (PAM) dengan 3 distance measure: Manhattan, Euclidean dan Canberra distance. Untuk mengukur kualitas hasil clustering, digunakan nilai Adjusted Rand Index (ARI). Semakin besar nilai ARI, semakin baik kualitas cluster. Dari 3 kali ujicoba diperoleh rata-rata nilai ARI untuk Euclidean distance sebesar 0.799, Manhattan distance dengan rata-rata sebesar 0.738 dan Canberra distance sebesar 0.163. Sedangkan pengelompokan terbaik diperoleh saat ujicoba 1 menggunakan Euclidean distance dengan nilai ARI sebesar 0.825 dan kecocokan dengan label asli sebesar 83.33 %. Dari pengelompokan terbaik menghasilkan kelompok pemerataan tinggi terdiri dari 11 kecamatan, kelompok pemerataan sedang terdiri dari 15 kecamatan dan kelompok pemerataan rendah terdiri dari 46 kecamatan. Kata kunci:indikator pemerataan pendidikan, clustering, PAM, distance measure"
107,PENGELOMPOKAN LAHAN MENGGUNAKAN METODE HYBRID K-MEANS CLUSTERING DENGAN DAVIES BOULDIN INDEX (DBI),Penulis : Dita Rahmawati,"Dosen Pembimbing I : Bain Khusnul K, ST.,M.Kom","Dosen Pembimbing II :Firli Irhamni, ST, M.Kom","Meningkatnya jumlah penduduk menyebabkan kepentingan dan ketergantungan manusia pada lahan pertanian semakin meningkat. Namun, dibeberapa daerah terdapat lahan yang belum terkelompok berdasarkan kriteria lahan pertanian. Oleh karena itu, diperlukan pengelompokan lahan berdasarkan kriteria lahan pertanian. Pengolahan data dengan pengelompokan (clustering) data yang umum digunakan adalah K-Means clustering, yang termasuk metode partition clustering, yakni mempartisi data kedalam bentuk satu atau lebih kelompok. Untuk memvalidasi data setelah proses clustering digunakan Davies Bouldin Index (DBI) untuk meningkatkan akurasi validasi hasil analisis data. Pada penelitian ini, pengelompokan lahan tanaman pangan pada skenario yang dijadikan tiga cluster dengan 10, 20 dan 30 iterasi diperoleh di iterasi ke-10 kecocokan dengan label asli sebesar 73.61 % pada 72 data lahan tanaman padi. Pada data tanaman jagung kecocokan dengan label asli sebesar 72.22 % di iterasi ke-30, data tanaman kacang hijau dengan SSE terkecil = 0 di ke-30 dengan prosentase kecocokan 72,22 %, data tanaman kacang tanah dengan SSE terkecil = 0 di iterasi ke-10 kecocokan dengan label asli sebesar 77.78 %, data tanaman ubi kayu dengan SSE terkecil = 0 pada iterasi ke-20 dengan prosentase 63,89 %. Nilai terkecil pada pemvalidasian cluster dengan DBI menggunakan tiga sampai sebelas cluster pada 72 data lahan untuk tanaman padi berada pada cluster ke-6, tanaman jagung berada pada cluster ke-9, tanaman kacang hijau berada pada cluster ke-11, tanaman kacang tanah berada pada cluster ke-11, dan tanaman ubi kayu berada pada cluster ke-9. Hasilnya cukup akurat karena ada tiga kelompok yang terbentuk. Kata kunci: K-Means, Davies Bouldin Index, Lahan, Clustering"
108,IDENTIFIKASI UNTUK PENENTUAN TINGKAT KESESUAIAN LAHAN TERHADAP PADI SAWAH MENGGUNAKAN METODE LEARNING VECTOR QUANTIZATION DENGAN VISUALISASI GOOGLE MAPS API,Penulis : Ainum Mabruroh,"Dosen Pembimbing I : Bain Khusnul K, ST, M.Kom","Dosen Pembimbing II :Budi Dwi Satoto, ST.,M.Kom","Padi Sawah merupakan salah satu tanaman pangan yang memiliki tingkat produksi paling tinggi di Kabupaten Lumajang dibandingkan dengan tanaman pangan lainnya seperti Jagung dan Ubi Kayu . Penentuan tingkat kesesuaian lahan untuk penanaman Padi Sawah sangat perlu untuk dilakukan agar nantinya dapat memberikan informasi kepada para petani dan perencana pengguna lahan dalam menentukan tindakan selanjutnya untuk dapat tetap meningkatkan produksinya. Dalam penelitian ini menggunakan Jaringan Syaraf Tiruan (JST) dengan metode Learning Vector Quantization untuk mengklasifikasikan karakteristik-karakteristik lahan kedalam kelas kesesuaian lahannya terhadap Padi Sawah. Karakteristik Lahan yang digunakan adalah 13 dan akan diklasifikasikan kedalam Empat kelas yaitu S1, S2, S3 dan N. Berdasarkan hasil ujicoba yang telah dilakukan dengan menggunakan 50% data Training,Learning Rate 0.08, MaxEpoch 100 dan Error minimum yang diharapkan adalah 0, metode Learning Vector Quantization mampu memberikan tingkat akurasi sebesar 71% dalam menentukan tingkat kesesuaian lahan untuk Padi Sawah. Hasil ujicoba tersebut selanjutnya divisualisasikan menggunakan Google Maps API. Kata Kunci: Jaringan Syaraf Tiruan (JST), Learning Vector Quantization (LVQ), Kesesuaian Lahan, Sistem Informasi Geografis(SIG),Google Maps API."
109,PREDIKSI KETEPATAN KELULUSAN MAHASISWA MENGGUNAKAN ALGORITMA C5.0,Penulis : Lindung Budiyantoro,"Dosen Pembimbing I : Mula’ab, S.Si, M.Kom","Dosen Pembimbing II :Fika Hastarita R.,S.T, M.Eng","Selama ini prediksi ketepatan kelulusan mahasiswa belum pernah dilakukan di jurusan Teknik Informatika, Universitas Trunojoyo, Madura. Prediksi ketepatan kelulusan mahasiswa perlu dilakukan untuk mengetahui ketepatan kelulusan seorang mahasiswa. Mahasiswa dinyatakan lulus tepat waktu apabila menempuh jenjang pendidikan strata 1 selama 8 semester atau 4 tahun. Salah satu teknik data mining yang dapat digunakan untuk melakukan prediksi adalah dengan menggunakan metode decision tree. Metode ini akan menghasilkan pohon dan rule keputusan yang nantinya akan dijadikan sebagai acuan dalam proses prediksi. Sistem prediksi ini menggunakan algoritma C5.0 yang merupakan salah satu metode decision tree. Data mahasiswa yang terdiri dari 37 atribut dan 1 kelas, dihitung menggunakan rumus information gain untuk menghasilkan pohon dan rule keputusan. Dari uji coba yang telah dilakukan, terbentuk pohon keputusan yang berbeda-beda. Perbedaan ini disebabkan oleh jumlah data training yang digunakan pada setiap partisi data jumlahnya berbeda. Pohon keputusan partisi A menggunakan teknik postpruning dengan jumlah data training lebih besar daripada data testing mempunyai nilai akurasi tertinggi sebesar 90.32 %, sehingga pohon keputusan ini dipilih sebagai acuan dalam proses prediksi. Kata kunci : Decision tree, rule, algoritma C5.0, information gain, postpruning"
110,PENGELOMPOKAN KECAMATAN DI PULAU MADURABERDASARKANINDIKATOR PEMERATAAN PENDIDIKAN MENGGUNAKAN METODE K-MEANS CLUSTERING BERBASIS SMARTER (SIMPLE MULTY ATTRIBUTE RATING TECHNIQUE EXPLOITING RANKS METHO,Penulis : Windy Wulandari,"Dosen Pembimbing I : Bain Khusnul K, ST, M.Kom","Dosen Pembimbing II :Budi Dwi Satoto, ST.,M.Kom","Pemerintah daerah Kabupaten/Kota selaku pengelola pendidikan dasar, memerlukan informasi mengenai kondisi pendidikan di wilayahnya untuk membuat perencanaan dan kebijakan yang sesuai mengenai perluasan dan pemerataan pendidikan. Untuk mengetahui informasi pemerataan pendidikan diperlukan pengelompokan kecamatan berdasarkan indikator pemerataan pendidikan. Pengelompokan (clustering) merupakan salah satu metode data mining membagi data ke dalam kelompok – kelompok yang mempunyai objek yang karakteristiknya sama. Metode clustering yang umum digunakan adalah k-means clustering. Pada penelitian ini, akan mengelompokkan kecamatan yang ada di Pulau Madura menjadi 3 kelompok dengan 18 variabel indikator pemerataan menggunakan metode k-means clustering berbasis smarter. Smarter dikenal sebagai metode yang menghasilkan bobot bagus karena sebelumnya dilakukan perangkingan. Pada uji coba yang telah dilakukan menggunakan iterasi 10, 50 dan 100, kinerja k-means berbasis smarter jauh lebih baik dibandingkan dengan k-means biasa. Metode k-means berbasis smarter memiliki nilai SSE (error) terkecil yaitu 658.61yang terletak pada cluster 3 di 50 iterasi. Hal ini menunjukkan semakin kecil nilai SSEnya berarti semakin baik suatu metode. Kata kunci:indikator pemerataan pendidikan, clustering, k-means, smarter."
111,RANCANG BANGUN SISTEM PEMBELAJARAN BAHASA MADURA MENGGUNAKAN PERSONALIZED SYSTEM,Penulis : Faiz Zainol Lutji Afandi,"Dosen Pembimbing I : Andharini Dwi Cahyani Skom., Mkom.","Dosen Pembimbing II :Yeni Kustiyahningsih Skom., Mkom.","Bahasa Madura merupakan bahasa lokal tradisional warisan nenek moyang asli warga Indonesia. Pelestarian bahasa ini tentunya harus dilakukan dalam kontek akademik yang sistematis agar bisa dipelajari dengan baik oleh siswa sekolah dasar sebagai pondasi dasar untuk memperkenalkan bahasa Madura. Seiring perkembangan jaman tentunya perlu sarana pendukung pendidikan yang bisa menyesuaikan dengan jaman yang semakin modern, dengan pembelajaran yang aktif tidak hanya terpaku kepada kelas yang monotone. Aplikasi E-Lerning bahasa Madura sangatlah tepat untuk mendukung pembelajaran bahasa Madura di sekolah dengan baik, dengan berbagai modul dasar pembelajaran bahasa Madura mulai dari parcakapan, okara samporna ta’ samporna, carakan, dll. dapat dipelajari kapanpun dan dimanapun siswa berada. Aplikasi E-learning dengan metode Personalized E-Learning System merupakan metode pembelajaran modern yang dapat mengetahui kemampuan siswa dengan beberapa soal random dan inputan tingkat kesulitan dari siswa, dengan adanya pembelajaran elektronik siswa dengan mudah dapat mempelajari modul yang ada sesuai tingkat ability masing masing. Dari penelitian yang telah dilakukan mendapatkan kenaikan minat belajar siswa yang sangat siknifikan, tingkat kemampuan siswa terus bertambah dengan hasil ujian pretest dan posttest yang baik."
112,PENGEMBANGAN APLIKASI PEMBELAJARAN ANAK USIA DINI MENGGUNAKAN QUALITY FUNCTION DEPLOYMENT,Penulis : Rebby Joenanta,"Dosen Pembimbing I : Andharini Dwi Cahyani, S.kom.,M.kom","Dosen Pembimbing II :Yeni Kustiyahningsih, S.Kom.,M.Kom","Pesatnya perkembangan teknologi saat ini telah berpengaruh dan berdampak positif bagi kehidupan manusia. Dengan pemanfaatan teknologi pula, pengembangan pengetahuan menjadi menarik khususnya bagi dunia pendidikan. Saat ini sistem pendidikan tidak terlepas dari sistem informasi dan komunikasi yang berkembang dengan pesat serta mempengaruhi kehidupan masyarakat, terutama pada dunia pendidikan. Sudah banyak sistem pembelajaran yang dibangun untuk menunjang proses belajar mengajar didunia pendidikan dengan tujuan meningkatkan mutu pendidikan selangkah lebih maju seiring dengan kemajuan teknologi. Multimedia interaktif merupakan suatu aplikasi pembelajaran yang digunakan untuk menyalurkan pesan pembelajaran berupa pengetahuan, keterampilan dan sikap yang dirancang agar siswa dapat belajar aktif dan terkendali. Adanya multimedia pembelajaran interaktif dapat membantu guru untuk mendesain pembelajaran secara kreatif. Dengan desain pembelajaran yang kreatif maka proses pembelajaran menjadi inovatif, menarik, efektif dan lebih interaktif. Pengembang aplikasi pembelajaran menggunakan Quality Function Deployment merupakan pengembangan aplikasi pembelajaran yang digunakan dalam mendesain konten pembelajaran berupa media interaktif yang sesuai dengan keinginan dari guru pengajar. Digunakan pengisian matriks Quality Function Deployment (QFD) untuk mengkorelasikan antara keinginan guru terhadap elemen desain. Dari hasil pengisian matriks QFD diperoleh model perancangan aplikasi pembelajaran untuk anak usia dini berdasarkan keinginan guru. Dari hasil uji coba dilakukan kesesuaian hasil aplikasi dengan Quality Function Deployment kepada guru pengajar dan didapatkan hasil prosentase sangat sesuai 46,353%, sesuai 47,112%, cukup sesuai 6,383%, kurang sesuai 0,152%, dan tidak sesuai 0%."
113,SISTEM PEROLEHAN CITRA BERBASIS ISI MENGGUNAKAN FITUR COLOR AUTOCORRELOGRAM PADA HSV COLOR SPACE UNTUK CITRA BATIK,Penulis : Widiastuti,"Dosen Pembimbing I : Dr. Indah Agustien Siradjuddin, S.Kom., M.Kom","Dosen Pembimbing II :Rima Tri Wahyuningrum, S.T., M.T.","Sistem Perolehan Citra Berbasis Isi (SPCI) adalah sebuah teknik pencarian citra menggunakan isi visual, untuk mencari citra pada basis data citra sesuai dengan permintaan pengguna dalam suatu bentuk citra query. Fitur yang terkait isi visual seperti bentuk, warna, dan tekstur adalah fitur utama sebuah citra. Dalam penelitian ini sistem dibangun dengan memanfaatkan fitur warna. Fitur berdasarkan warna merupakan atribut yang paling dominan dalam sebuah citra terutama citra batik. Warna adalah fitur visual yang paling melekat pada indera manusia. Color Autocorrelogram digunakan sebagai ekstraksi fitur warna dari komponen hue dari citra dalam ruang warna HSV. Setelah didapat fitur vektor Autocorrelogram, selanjutnya dilakukan proses pencocokan citra antara citra query dan citra basis data dengan menggunakan Histogram Intersection Distance. Data yang digunakan dalam penelitian ini adalah citra batik dari delapan kelas yang berbeda, yaitu batik Bali, batik Bangkalan, batik Cirebon, batik Jogja, batik Pamekasan, batik Pekalongan, batik Solo, dan batik Sumenep. Setiap kelas terdapat sebanyak 25 citra. Hasil eksperimen dari tiga skenario adalah precision tertinggi pada skenario ke tiga dengan akurasi perolehan sebesar 70%. Hal ini dikarenakan semakin besar rentang nilai kemiripan yang ditampilkan maka semakin banyak citra relevan yang ter-retrieve."
114,Penerapan Exponential Smoothing Berbasis Ordinary Least Square Berdasarkan Ordered Weighted Aggregation Untuk Peramalan Persediaan Ikan Teri Di PT. Madura Prima Interna,Penulis : Moh.Laili,"Dosen Pembimbing I : Bain Khusnul Khotimah ST.,M.Kom","Dosen Pembimbing II :Budi Dwi Satoto St.,M.Kom","Peramalan sangat penting bagi sebuah perusahaan untuk merumuskan srategi di masa yang akan datang. PT. Madura Prima Interna adalah perusahaan yang bergerak di bidang eksportir ikan teri. Setiap harinya dibutuhkan ikan teri dari beberapa supplier. Untuk mengetahui kebutuhan persediaan terhadap ikan teri maka dibutuhkan sistem peramalan agar permintaan pasar dapat terpenuhi. Penggunaan Exponential Smoothing berbasis Ordinary Least Square (OLS) dan berdasarkan Ordered Weighted Aggregation (OWA) karena memberikan prioritas tinggi terhadap observasi baru dan diharapkan akan mendapatkan hasil ramalan yang lebih bagus dengan nilai error kecil. Hasil ujicoba menggunakan data pembelian periode 2010 dengan parameter bebas 0.1 sampai dengan 0.9 . Hasil parameter optimal adalah 0.45 dengan tingkat kesalahan 0.067. Dari hasil analisa yang paling bagus yaitu menggunakan parameter alpha 0.45, karena nilai errornya lebih kecil,"
115,PENGENALAN POLA TULISAN TANGAN HURUF ALPHABET DENGAN MENGGUNAKAN ALGORITMA CHAIN CODE DAN k-NEAREST NEIGHBOR,Penulis : DENNY ANDRIE,"Dosen Pembimbing I : Bain Khusnul Khotimah, ST.,M.Kom","Dosen Pembimbing II :Mula’ab, S.Si, M.Kom","Pengenalan pola tulisan tangan adalah sebuah teknik dimana input data yang berupa lembaran kertas hasil scan menggunakan scanner dan menghasilkan gambar pada komputer yang dikenali sebagai angka-angka biner, angka-angka biner inilah yang kemudian diproses lebih lanjut dengan menggunakan algoritma tertentu menjadi karakter sehingga dapat dikenali dan diolah menjadi informasi. Tentunya banyak sekali orang yang sudah mengenal tentang huruf alphabet yang terdiri dari A sampai Z. Kelemahan dalam mengenali huruf adalah jika huruf yang dikenali sulit dan ada yang terhapus, maka orang tersebut akan mencoba untuk mengenalinya dengan benar. Dan pada penelitian ini akan dibangun sebuah sistem pengenalan pola huruf alphabet menggunakan algoritma Chain Code dan k-Nearest Neighbor. Algoritma Chain code menggunakan metode yang melakukan penelusuran pixel-pixel pada objek dengan panduan arah mata angin. Dengan menggunakan arah mata angin memiliki keakuratan akan pengenalan objek yang lebih baik. Setiap lekukan dapat dikenali sehingga penjejakan tepi mendekati objek aslinya. Yang dapat menghasilkan vektor ciri berisi informasi berupa fitur kode chain code pembentuk huruf. Hasil yang akan diinputkan dalam proses klasifikasi menggunakan k-Nearest Neighbor(KNN). Metode ini tangguh terhadap data uji yang noise serta efektif jika menggunakan data uji yang besar"
116,RANCANG BANGUN APLIKASI MULTIMEDIA PEMBELAJARAN TEKNOLOGI INFORMASI DAN KOMUNIKASI (TIK) UNTUK SISWA MTs NEGERI SURABAYA 1 BERBASIS LTSA,Penulis : Mohammad Zuhdi Arief Setiawan,"Dosen Pembimbing I : Yeni Kustiyahningsih, S.Kom., M.Kom.","Dosen Pembimbing II :Sri Herawati, S.Kom., M.T.","Perkembangan teknologi informasi dan komunikasi (TIK) telah memberikan pengaruh terhadap dunia pendidikan khususnya dalam proses pembelajaran. Komunikasi sebagai media pendidikan dilakukan dengan menggunakan media-media komunikasi seperti telepon, komputer, internet, e-mail, dsb. Interaksi antara guru dan siswa tidak hanya dilakukan melalui hubungan tatap muka tetapi juga dilakukan dengan menggunakan media-media tersebut. Guru dapat memberikan layanan tanpa harus berhadapan langsung dengan siswa. Demikian pula siswa dapat memperoleh informasi dalam lingkup yang luas dari berbagai sumber melalui cyber space atau ruang maya dengan menggunakan komputer atau internet. Hal yang paling mutakhir adalah berkembangnya apa yang disebut“cyber teaching” atau pengajaran maya, yaitu proses pengajaran yang dilakukan dengan menggunakan internet. LTSA (IEEE 1484) adalah suatu standar internasional sistem pembelajaran yang dikembangkan berdasarkan IEEE 1484 Learning Standards Committee (LTSC) oleh Farance Incorporational, divisi Edutool. LTSA merupakan arsitektur tingkat tinggi yang berfokus pada masalah teknologi pembelajaran, pelatihan berbasis komputer, sistem pendukung performasi elektronik, instruksi berbantuan komputer, dan lain-lain. Dapat juga diartikan sebagai suatu kerangka kerja untuk mengetahui sistem yang ada dan yang akan dibangun. Dalam tugas akhir ini dibuat sebuah aplikasi multimedia pembelajaran interaktif yang di dalamnya memuat tentang teknologi informasi dan komunikasi (TIK). Aplikasi ini dikembangkan dengan menggunakan PHP sebagai web programming dan My SQL sebagai database server."
117,Perbandingan Metode Transformasi Kekre dan Segmentasi Warna HSV untuk Sistem Perolehan Citra Berbasis Isi,Penulis : Rika Awalul Awalida,"Dosen Pembimbing I : Rima Tri Wahyuningrum, ST., MT","Dosen Pembimbing II :Dr. Indah Agustien Siradjuddin, S.Kom., M.Kom","Sistem Perolehan Citra Berbasis Isi (SPCI) merupakan teknik pencarian berdasarkan konten visual untuk mencari citra yang sesuai dengan keinginan pengguna.Secara umum, SPCI memiliki dua tahapan utama, yaitu ekstraksi fitur dan pengukuran kemiripan. Fitur yang digunakan dalam penelitian ini adalah fitur warna karena fitur warna merupakan fitur yang umum digunakan, dan dapat merepresentasikan warna sesuai dengan visual mata manusia. Ekstraksi fitur warna dilakukan dengan menggunakan metode Transformasi Kekre, dan Segmentasi Warna HSV. Hasil dari ekstraksi fitur warna digunakan untuk pengukuran kemiripan antara citra query dengan basis data citra. Pengukuran ini menggunakan metode Euclidean Distance.Metode Transformasi Kekre dan Segmentasi Warna HSV diaplikasikan pada 170 citra bunga dari 17 kelas yang berbeda. Uji coba dilakukan terhadap 15 citra query dan diperoleh hasil yang lebih baik pada Segmentasi Warna HSV dengan precision sebesar 75% dan recall sebesar37%. Sedangkan precision dan recall pada Transformasi Kekre adalah 49% dan 25%. Hal ini dikarenakan proses awal Segmentasi Warna HSV yang melakukan konversi citra ke ruang warna HSV dianggap lebih baik dalam membedakan warna dibandingkan dengan Transformasi Kekre yang juga melakukan konversi citra, tetapi ke dalam format grayscale."
118,PERBANDINGAN METODE COLOR CO-OCURRENCE MATRIX & MODIFIED COLOR CO-OCCURRENCE MATRIX PADA SISTEM PEROLEHAN CITRA BERBASIS ISI UNTUK CITRA BATIK,Penulis : Endang Rustiyana,"Dosen Pembimbing I : Dr. Indah Agustien Siradjuddin, S.Kom., M.Kom","Dosen Pembimbing II :Rima Tri Wahyuningrum, S.T., M.T.","Sistem Perolehan Citra berbasis Isi (SPCI) merupakan sistem pencarian citra menggunakan isi visual, untuk mencari citra relevan pada database citra sesuai dengan citra inputan yang diinginkan oleh pengguna. Fitur yang terkait isi visual terdiri dari bentuk, warna dan tekstur adalah fitur utama sebuah citra. Warna adalah salah satu fitur visual yang paling banyak digunakan dalam CBIR karena warna dapat dikenali langsung oleh indra manusia. Oleh karena itu, Fitur warna digunakan dalam penelitian ini sebagai proses ekstraksi fitur dari delapan kelas citra batik yaitu: citra batik Cirebon, batik Bali, batik Pamekasan, batik Solo, batik Jogja, batik Sumenep, batik Pekalongan, dan batik Bangkalan sebagai objek perolehan citra berbasis isi. Terdapat dua tahapan yaitu tahapan pertama ekstraksi fitur warna dengan menggunakan metode Color Co-occurrence Matrix, tahap ke dua dilakukan pencocokan antara citra database dan citra query menggunakan Similarity. Pada proses similarity dilakukan modifikasi yang disebut Modified Color Co-occurrence Matrix. Dari tiga skenario yang telah di uji coba pada 200 citra batik, dengan percobaan 10 citra query di dapatkan bahwa tingkat presicion MCCM lebih tinggi dibanding dengan CCM, masing masing tingkat akurasi presicion 66% untuk CCM dan 73% untuk MCCM."
119,IMPLEMENTASI ALGORITMA ENKRIPSI DES UNTUK APLIKASI MOBILE CHAT PADA OS ANDROID,Penulis : Zhomi Fero Anista,Dosen Pembimbing I : Cucun Very Angkoso S.T. M.T,Dosen Pembimbing II :Ari Kusumaningsih S.T. M.T.,"Pengiriman informasi melalui jaringan elektronik dalam permasalahan ini adalah chatting dengan media server memiliki kerentanan dalam keamanan data yang dikirimkan . Layanan tersebut diketahui memiliki beberapa kelemahan, yaitu kelemahan terhadap masalah keamanan sistem. Kelemahan itu dikarenakan data yang dikirim kedalam server menggunakan koneksi dengan jaringan global sehingga lebih rentan terhadap serangan hacker.Pada penelitian ini untuk menjamin keamanan dan kerahasiaan informasi pada komunikasi yang menggunakan jaringan IP mobile, dilakukan proses enkripsi dan dekripsi terhadap informasi yang akan dikirimkan. Enkripsi dilakukan pada saat pengiriman dengan cara mengkonversi informasi asli menjadi informasi yang terenkripsi sedangkan dekripsi dilakukan pada saat penerimaan dengan cara mengkonversi informasi terenkripsi menjadi informasi asli. Jadi informasi yang dikirimkan selama proses pengiriman adalah data informasi yang terenkripsi, sehingga informasi asli tidak dapat diketahui oleh pihak yang tidak berhak. Informasi asli hanya dapat diketahui oleh penerima dengan menggunakan kunci rahasia.Penggunaan algoritma enkripsi Data Encryption Standard (DES) merupakan upaya untuk mencegah kebocoran data chat ke pihak lain. Sehingga dalam menggunakan aplikasi chat tidak dikhawatirkan terjadinya kebocoran informasi pribadi. Karena berdasarkan hasil uji coba terbukti bahwa cipherteks yang dihasilkan telah sesuai dengan hasil perhitungan menggunakan algoritma enkripsi DES. dan telah diuji menggunakan beberapa aplikasi DES test vector."
